sample_id,domain,url,split,label,p_url,p_website,p_visual,has_password_field,has_external_password_form,external_action_count,login_forms_count,external_link_ratio,null_link_ratio,security_header_score,has_centered_card,whitespace_ratio,edge_density,url_length,entropy_score,count_subdomains,has_ip_address,has_punycode
sample_017_binance-security-authentication_info,binance-security-authentication.info,https://binance-security-authentication.info/en/login,train,1,0.673,0.9707,0.9868,1,1,1,1,0.0,0.0,0.0,1,0.0,0.0054,53,0.0,0,0,0
sample_019_adobe-id-document-cloud-sign_com,adobe-id-document-cloud-sign.com,https://adobe-id-document-cloud-sign.com/document/sign,train,1,0.865,0.9707,0.9793,1,1,1,1,0.0,0.0,0.0,1,0.981,0.0113,54,0.0,0,0,0
sample_020_zoom-video-meeting-invite-auth_com,zoom-video-meeting-invite-auth.com,https://zoom-video-meeting-invite-auth.com/j/login,train,1,0.6824,0.9707,0.9911,1,1,1,1,0.0,0.0,0.0,1,0.979,0.0138,50,0.0,0,0,0
sample_021_icloud-storage-full-warning_com,icloud-storage-full-warning.com,https://icloud-storage-full-warning.com/manage,train,1,0.3031,0.9707,0.991,1,1,1,1,0.0,0.0,0.0,1,0.981,0.0117,46,0.0,0,0,0
sample_022_dhl-express-dispatch-customs_net,dhl-express-dispatch-customs.net,https://dhl-express-dispatch-customs.net/tracking/fee,train,1,0.8408,0.0998,0.9931,0,0,1,0,0.0,0.0,0.0,1,0.898,0.0208,53,0.0,0,0,0
sample_024_telegram-web-instant-login_com,telegram-web-instant-login.com,https://telegram-web-instant-login.com/auth/code,train,1,0.7058,0.9707,0.9682,1,1,1,1,0.0,0.0,0.0,1,0.98,0.0133,48,0.0,0,0,0
sample_026_python_org,python.org,https://www.python.org/,train,0,0.7746,0.0998,0.0085,0,0,0,0,0.0,0.0,0.0,0,0.226,0.0584,23,0.0,1,0,0
sample_027_github_com,github.com,https://github.com/explore,train,0,0.0,0.0998,0.0548,0,0,0,0,0.0,0.0,0.0,0,0.671,0.0483,26,0.0,0,0,0
sample_030_w3_org,w3.org,https://www.w3.org/,train,0,0.6338,0.0998,0.1349,0,0,0,0,0.0,0.0,0.0,0,0.985,0.0202,19,0.0,1,0,0
sample_031_cloudflare_com,cloudflare.com,https://www.cloudflare.com/,train,0,0.9187,0.0998,0.0916,0,0,0,0,0.0,0.0,0.0,0,0.138,0.0518,27,0.0,1,0,0
sample_034_stanford_edu,stanford.edu,https://www.stanford.edu/,train,0,0.8942,0.0998,0.0326,0,0,0,0,0.0,0.0,0.0,0,0.022,0.027,25,0.0,1,0,0
sample_035_gnu_org,gnu.org,https://www.gnu.org/,train,0,0.6667,0.0998,0.0068,0,0,0,0,0.0,0.0,0.0,0,0.645,0.0952,20,0.0,1,0,0
sample_036_kernel_org,kernel.org,https://www.kernel.org/,train,0,0.753,0.0998,0.1145,0,0,0,0,0.0,0.0,0.0,0,0.583,0.0124,23,0.0,1,0,0
sample_037_debian_org,debian.org,https://www.debian.org/,train,0,0.775,0.0998,0.0099,0,0,0,0,0.0,0.0,0.0,0,0.515,0.0902,23,0.0,1,0,0
sample_038_stackoverflow_com,stackoverflow.com,https://stackoverflow.com/,train,0,0.0398,0.0998,0.465,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0041,26,0.0,0,0,0
sample_039_arxiv_org,arxiv.org,https://arxiv.org/,train,0,0.0,0.0998,0.0293,0,0,0,0,0.0,0.0,0.0,0,0.835,0.1285,18,0.0,0,0,0
sample_040_acm_org,acm.org,https://www.acm.org/,train,0,0.6667,0.0998,0.0167,0,0,0,0,0.0,0.0,0.0,0,0.795,0.0835,20,0.0,1,0,0
sample_041_nist_gov,nist.gov,https://www.nist.gov/,train,0,0.7287,0.0998,0.0076,0,0,0,0,0.0,0.0,0.0,0,0.037,0.0404,21,0.0,1,0,0
sample_042_cisa_gov,cisa.gov,https://www.cisa.gov/,train,0,0.7287,0.0998,0.0014,0,0,0,0,0.0,0.0,0.0,0,0.306,0.0816,21,0.0,1,0,0
sample_043_ietf_org,ietf.org,https://www.ietf.org/,train,0,0.7287,0.0998,0.0189,0,0,0,0,0.0,0.0,0.0,0,0.514,0.0708,21,0.0,1,0,0
sample_046_un_org,un.org,https://www.un.org/en/,train,0,0.755,0.0998,0.0135,0,0,0,0,0.0,0.0,0.0,0,0.578,0.0658,22,0.0,1,0,0
sample_048_nasa_gov,nasa.gov,https://www.nasa.gov/,train,0,0.712,0.0998,0.022,0,0,0,0,0.0,0.0,0.0,0,0.113,0.0569,21,0.0,1,0,0
